Sectors of Islamabad,latitude,longitude,Venue,venue_id,Venue latitude,Venue longitude,Venue category,Venue Likes,Total Likes per Sector,No. of Venues per Sector,Cluster Labels
"Diplomatic Enclave, Islamabad",33.7236061,73.1118305,Canadian Club,4e5a1c7be4cd875e8eb7172d,33.7210349178124,73.11229197003367,Restaurant,3,11,3,2
"Diplomatic Enclave, Islamabad",33.7236061,73.1118305,Gloria Jean's Cafe,5212de7d11d2af9b90ead237,33.72173579295302,73.10686932478062,Coffee Shop,6,11,3,2
"Diplomatic Enclave, Islamabad",33.7236061,73.1118305,A Club,4cd9aad97bb06dcbf792a9b2,33.723374206621486,73.1173293699134,American Restaurant,2,11,3,2
"E-7, Islamabad",33.727498,73.0512388,Texas Steak House,520a66b311d2aa759eac9baa,33.727476390391246,73.04765625186933,Steakhouse,20,27,4,2
"E-7, Islamabad",33.727498,73.0512388,Subway F-7,53341762498e11af2be50b71,33.719323,73.053343,Sandwich Place,3,27,4,2
"E-7, Islamabad",33.727498,73.0512388,Scooperz,4f6b6435e4b01cb02e600800,33.720433336876006,73.05663033857392,Ice Cream Shop,4,27,4,2
"E-7, Islamabad",33.727498,73.0512388,Chocolate,4fa3ab09e4b0ed0280a5c3d4,33.719945100233055,73.05701188201853,Café,0,27,4,2
"E-9, Islamabad",33.7155267,73.0200684,Old Cafe,4d9bff03e115721e22d4430b,33.715721,73.028961,Café,0,0,3,2
"E-9, Islamabad",33.7155267,73.0200684,Mr Dean Café,4f5d8d1ae4b08380694bf0de,33.71578512809105,73.02930237504428,Café,0,0,3,2
"E-9, Islamabad",33.7155267,73.0200684,The Lounge,4df782d322717445a0b5ec83,33.72091135865725,73.01168129234166,Diner,0,0,3,2
"E-11, Islamabad",33.6939317,72.9757761,Paratha Party,55617fe4498ee79eb60ffa41,33.69915436323432,72.97402737130422,Breakfast Spot,7,7,2,2
"E-11, Islamabad",33.6939317,72.9757761,Dunba Party,4ee23697b634bfdd0d017a73,33.70148372655923,72.97773669108223,BBQ Joint,0,7,2,2
"F-5, Islamabad",33.7322095,73.0887796,Nadia Lounge,4ff0953fe4b08cbcb853da06,33.73265512087144,73.08706183721266,Café,17,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Hotspot On Haunted Hill,4e4d4cce62e1e5f467223e50,33.736574567268356,73.0815788273672,Dessert Shop,6,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Terrace Cafe,4e9704010aafdb60e0b1e061,33.732678175112284,73.08687055795019,Café,5,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Dynasty,4d3c44a105b8721e2acd8a37,33.732835424391666,73.08734320748448,Asian Restaurant,7,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Tiramisu,4cde8a7741ed224b127dd93c,33.726377,73.086407,Italian Restaurant,3,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,14th Street Pizza,50c22fd0e4b0cd152590c317,33.727234972411026,73.0866279272943,Pizza Place,1,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Fijji's Grill,4eccb926cc215616122d927e,33.72551211001404,73.08700808916753,BBQ Joint,17,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,The Cave,4b95349df964a520ef9434e3,33.72669719805116,73.08701646278406,Restaurant,3,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,BBQ Tonight,4d176955e190721e8bba1a21,33.72507695254212,73.08668993308474,BBQ Joint,27,89,10,2
"F-5, Islamabad",33.7322095,73.0887796,Mr. Cod,4ce0fc18db125481ad6c3fce,33.72573993931556,73.08682546661758,Seafood Restaurant,3,89,10,2
"F-6, Islamabad",33.7286213,73.0735239,Chaaye Khana,4d3314f78c42a1cd92b9ee5d,33.729388344223445,73.07491307524312,Tea Room,255,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Pizza Originale,51468fcae4b0136ab69b973e,33.729394936587,73.07492442206484,Pizza Place,14,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,The Coffee Bean & Tea Leaf,5a22c1f7da5ede3855d268b5,33.731742545412864,73.0792758244201,Coffee Shop,7,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Burning Brownie Cafe & Bake Shop,51b962c7498e1ba21d4ff958,33.72050811894843,73.0739564587237,Coffee Shop,61,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Street 1 Cafe,5212dd6d498eb97fa12c6a1d,33.735397,73.0782,Café,14,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Mocca Coffee,4b647947f964a5201eb62ae3,33.73537868940987,73.07812064298041,Coffee Shop,54,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Majlis,4ccc913cee23a143780f20a8,33.735231,73.071171,Middle Eastern Restaurant,5,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Porterhouse,54035f51498e13815e3baa7e,33.73542404174805,73.07846069335938,Steakhouse,13,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Street 1 Cafe,4e1fedf01838712abe6161c0,33.735382032394604,73.07823855166933,Italian Restaurant,71,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Crema,587f30c375e1370bc443c588,33.719849,73.073967,Café,6,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Nando's,4c1c882efcf8c9b64640aa0b,33.729952885652395,73.07805682877894,Portuguese Restaurant,70,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Cannoli by Cafe Soul,56791281498e5c3e854db77c,33.72031707443655,73.0736819000831,Italian Restaurant,10,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Pizza Party,4bd048b4caff95216a7bcef0,33.72678032535477,73.07235067758468,Pizza Place,5,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,American Steak House,4c94ccd482b56dcbdf42d2aa,33.730314840208464,73.07660895045623,Steakhouse,7,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Munchies,4bd1b8c4462cb713fbadda07,33.730283488455946,73.0768677164693,Fast Food Restaurant,4,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,KFC,4bd568ff637ba593b350f670,33.72932181822023,73.07483400808538,Fast Food Restaurant,14,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Classic Rock Coffee,563470a3498ec7727e3f279f,33.72915866766792,73.07429669571142,Café,4,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Naan Dhaaba,56a7abb8498ec81a0cec5c50,33.729423,73.075903,Pakistani Restaurant,4,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Table Talk Cafe,524fa06711d2a4ea77562617,33.73538694743404,73.07828301161133,Café,7,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Street Burger,58da9df0bbec660e8d75b62b,33.722956,73.070761,Burger Joint,3,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Khoka Khola,576059f3498eb0545217b260,33.72019644999232,73.07342333505885,Asian Restaurant,6,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Khiva Restaurant,4df0fac3c65b0270f3a620f8,33.73578222500835,73.07108441957853,Pakistani Restaurant,12,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Asian Wok,5ae2e8baa6fe4d002cf5800f,33.72008,73.07387,Asian Restaurant,5,653,24,1
"F-6, Islamabad",33.7286213,73.0735239,Tiger Temple,5807a21138fa1d768a6a3ac3,33.719994,73.074172,Thai Restaurant,2,653,24,1
"F-7, Islamabad",33.7204333,73.0561174,Roasters Coffee House & Grill,4f65704ee4b041039ea3614f,33.71923331626901,73.05517849119013,Burger Joint,108,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Second Cup (Safa Gold Mall),52f24729498eff96e6ee62a6,33.72094867123697,73.05559277154751,Coffee Shop,21,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Char Grill Central,51f925b75019647b001e0cc1,33.726237890047805,73.05729434177843,Burger Joint,11,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Marble Stone Creamery,4c98903d6ffe8cfaeddefd2f,33.718435856498736,73.05347193504592,Ice Cream Shop,14,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Howdy,545f8921498e7f1d2902e675,33.72605736858926,73.05791870787313,Burger Joint,57,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Hardee's,4e12c0f5d4c07597ff8c3dbb,33.72099500276549,73.05120606068395,Fast Food Restaurant,103,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,English Tea House,5921bee94940bc3f72ad9c46,33.721844,73.05082,Café,12,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Kim Mun Restaurant,57b17db8498eee8524778acd,33.721147,73.058906,Chinese Restaurant,10,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Kabul Restaurant,4bda08193904a59328c2449e,33.7212573684676,73.05623727758433,Afghan Restaurant,63,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,One Potato Two Potato,4bacb77cf964a5205d063be3,33.72004536748688,73.05550311424102,Fast Food Restaurant,28,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,McDonald's,56fe6cdf498e141b1b123c2d,33.7206880329603,73.05555346186365,Fast Food Restaurant,2,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Chai O'Clock,59eb8fc1a6031c48a4061f83,33.72310153526187,73.05984914302826,Tea Room,12,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Tuscany Courtyard,4ffd38a4e4b0b4293062e60b,33.72248285665867,73.04951010252556,Italian Restaurant,82,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Upper Deck,4c88fed7944e224b4cc12085,33.71958397034309,73.05277494432819,American Restaurant,3,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Golden Dragon,4bd579a0637ba5931565f670,33.726324319179476,73.05794723102441,Chinese Restaurant,10,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Heng Chang,4b66e3e8f964a520fa2e2be3,33.724881672563505,73.05248343081965,Chinese Restaurant,11,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Yum Chinese & Thai,5921bdf3f0b490666fcf5499,33.72161733392319,73.05105736353569,Chinese Restaurant,10,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,The Warehouse,55d0461c498efe2636af3d8a,33.7211784427914,73.05924497434822,Café,13,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Jessie's,58be93a47ff1e41fbf9e067f,33.720695,73.05721,Burger Joint,9,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Gelato Affair,4bb5fec66edc76b0e63d301c,33.72596104247715,73.05788160442664,Ice Cream Shop,18,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Hot Spot,4bb89a6853649c74672047fb,33.72625652748538,73.05733463520116,Ice Cream Shop,34,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Tayto,54204aa5498e556bb4770ae3,33.72066923921694,73.05551918913118,Burger Joint,5,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Arz Lebanon,565498bc498ed65cd9ad8e04,33.72320833086082,73.05989774897012,Middle Eastern Restaurant,12,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Mr Chips Restaurant,4d73b2554ab5224b89a2d097,33.71965843060321,73.05354344572652,Fast Food Restaurant,9,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Pappasallis,4bae3dccf964a52039973be3,33.72268547801879,73.05966719212158,Italian Restaurant,31,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Ox & Grill,56378bdbcd10a22d6c9d8dea,33.719545360542675,73.05278070892184,American Restaurant,8,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Pizza Hut,4bd5540429eb9c742a2793e1,33.7220620298916,73.05855510400211,Pizza Place,25,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Qishmish,570503ff498e9c45d0e2fba3,33.72133530263735,73.05936378135563,Asian Restaurant,7,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Cock 'N' Bull,4ba33b3ef964a520ec3038e3,33.720143880676076,73.05552544357498,Fast Food Restaurant,8,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Atrio Cafe & Grill,5044bf70e4b0d3bceee6322c,33.72220201169847,73.05814807354,Café,37,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Zefra Restaurant,4cb477ab1168a093c1e14823,33.72201234159547,73.06240271605215,BBQ Joint,18,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Hotspot,4bb84a2ab35776b0cbd4c801,33.72620347307369,73.0573187721907,Dessert Shop,5,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,KC Grill,4ced31fb5de16ea8b9b1b496,33.72205546571782,73.06199645748445,Steakhouse,14,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Juice Zone-Fresh & Healthy Cafe,51aad7a8498eb63032060751,33.719297,73.055298,Café,2,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Soul At Lush,50ed97cae4b034e540c7bd4a,33.72179940006499,73.04753486948125,Mexican Restaurant,2,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Gloria Jeans Coffees,5815d73c38fa5f3536917a0c,33.725998898437986,73.05793996278655,Coffee Shop,4,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Sattar Baksh,567ac29f498e59bb57f0318c,33.7262136364091,73.05791419736374,Pakistani Restaurant,3,827,38,1
"F-7, Islamabad",33.7204333,73.0561174,Cafe Aylanto,59739932a87921222ea762af,33.726597,73.05731,Restaurant,6,827,38,1
"F-8, Islamabad",33.7104054,73.0405499,New Yorker Pizza,554f6828498e6819b4b712c4,33.70622,73.037677,Pizza Place,9,302,26,0
"F-8, Islamabad",33.7104054,73.0405499,Butt Karahi,55e969b3498eaad434ed927a,33.71085,73.039345,Pakistani Restaurant,9,302,26,0
"F-8, Islamabad",33.7104054,73.0405499,Jade,590f4dcecab410306bad7c8b,33.70909,73.0464,Restaurant,9,302,26,0
"F-8, Islamabad",33.7104054,73.0405499,Tutti Frutti FroYo,4eafaaee7ee5df194fc96205,33.70948199994019,73.04643167713732,Ice Cream Shop,18,302,26,0
"F-8, Islamabad",33.7104054,73.0405499,Habibi Restaurant,4f01f193e5faf2869db48f42,33.7117601802648,73.03877903234553,Indian Restaurant,30,302,26,0
